what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.ibm.team.enterprise.metadata.collection.ui,3.0.200.v20130124_0613,"com.ibm.team.enterprise.metadata.collection.ui",1469442422302
stopped,bundle,com.ibm.teamz.langdef.ui,3.1.200.v20120924_1445,"com.ibm.teamz.langdef.ui",1469442422302
stopped,bundle,com.ibm.teamz.dsdef.ui,1.3.200.v20120924_1445,"com.ibm.teamz.dsdef.ui",1469442422302
stopped,bundle,com.ibm.teamz.definitions.ui,3.0.300.v20120924_1445,"com.ibm.teamz.definitions.ui",1469442422302
stopped,bundle,com.ibm.teamz.migration.ui,3.0.100.v20120430_0235,"com.ibm.teamz.migration.ui",1469442422302
stopped,bundle,com.ibm.teamz.supa.admin.ui,3.0.100.v20120430_0235,"com.ibm.teamz.supa.admin.ui",1469442422302
stopped,bundle,com.ibm.team.enterprise.common.ui,3.0.400.v20130124_0613,"com.ibm.team.enterprise.common.ui",1469442422302
stopped,bundle,com.ibm.teamp.build.ui,3.0.400.v20130124_0613,"com.ibm.teamp.build.ui",1469442422302
stopped,bundle,com.ibm.team.build.ui,3.0.400.v20130215_0640,"com.ibm.team.build.ui",1469442422302
stopped,bundle,com.ibm.team.dashboard.rcp.ui,1.1.1100.v20120901_0511,"com.ibm.team.dashboard.rcp.ui",1469442422302
stopped,bundle,com.ibm.team.enterprise.process.definitions.ide.ui,3.0.100.v20120430_0235,"com.ibm.team.enterprise.process.definitions.ide.ui",1469442422302
stopped,bundle,com.ibm.team.scm.svn.subclipse.ui,3.1.0.v20120430_0235,"com.ibm.team.scm.svn.subclipse.ui",1469442422302
stopped,bundle,com.ibm.team.filesystem.rcp.ui.workitems,3.1.200.v20121018_1510,"com.ibm.team.filesystem.rcp.ui.workitems",1469442422302
stopped,bundle,com.ibm.team.metronome,3.1.200.v20121005_1221,"com.ibm.team.metronome",1469442422302
stopped,bundle,com.ibm.team.scm.svn.esubversive.ui,3.1.0.v20120430_0235,"com.ibm.team.scm.svn.esubversive.ui",1469442422302
stopped,bundle,com.ibm.team.scm.svn.rcp.ui,3.1.200.v20120924_1445,"com.ibm.team.scm.svn.rcp.ui",1469442422302
stopped,bundle,com.ibm.team.scm.client.importz.svn,3.1.300.v20130214_0341,"com.ibm.team.scm.client.importz.svn",1469442422302
stopped,bundle,com.ibm.teamp.filesystem.ide.ui,3.1.200.v20121015_1814,"com.ibm.teamp.filesystem.ide.ui",1469442422302
stopped,bundle,com.ibm.teamz.build.ui.changes,3.0.100.v20120430_0235,"com.ibm.teamz.build.ui.changes",1469442422303
stopped,bundle,com.ibm.teamz.supa.search.ui,3.0.100.v20120430_0235,"com.ibm.teamz.supa.search.ui",1469442422303
stopped,bundle,com.ibm.teamz.supa.finder.ui,3.0.100.v20120430_0235,"com.ibm.teamz.supa.finder.ui",1469442422303
stopped,bundle,com.ibm.teamz.supa.advisor.ui,3.0.100.v20120430_0235,"com.ibm.teamz.supa.advisor.ui",1469442422303
stopped,bundle,com.ibm.teamz.supa.search.common.ui,3.0.100.v20120430_0235,"com.ibm.teamz.supa.search.common.ui",1469442422303
stopped,bundle,com.ibm.team.filesystem.ide.ui,3.1.200.v20121023_0417,"com.ibm.team.filesystem.ide.ui",1469442422303
stopped,bundle,com.ibm.team.process.definitions.ide.ui,3.1.0.v20120430_0235,"com.ibm.team.process.definitions.ide.ui",1469442422303
stopped,bundle,com.ibm.team.reports.ide.ui,2.1.300.v20130129_0138,"com.ibm.team.reports.ide.ui",1469442422303
stopped,bundle,com.ibm.team.tpt.ide.ui,3.0.300.v20121101_0608,"com.ibm.team.tpt.ide.ui",1469442422303
stopped,bundle,com.ibm.team.workitem.extension,3.1.200.v20120924_1445,"com.ibm.team.workitem.extension",1469442422303
stopped,bundle,com.ibm.team.workitem.java.ide.ui,3.1.200.v20121009_0458,"com.ibm.team.workitem.java.ide.ui",1469442422303
stopped,bundle,com.ibm.team.workitem.ide.ui,3.1.300.v20130206_1840,"com.ibm.team.workitem.ide.ui",1469442422303
stopped,bundle,com.ibm.rational.connector.cq.ide.ui,3.0.400.v20120925_0322,"com.ibm.rational.connector.cq.ide.ui",1469442422303
stopped,bundle,com.ibm.team.collaboration.workitem.rcp.ui,3.1.200.v20120924_2109,"com.ibm.team.collaboration.workitem.rcp.ui",1469442422303
stopped,bundle,com.ibm.team.workitem.rcp.ui,3.1.300.v20130207_2057,"com.ibm.team.workitem.rcp.ui",1469442422312
stopped,bundle,com.ibm.team.process.ide.ui,1.2.1200.v20121031_2358,"com.ibm.team.process.ide.ui",1469442422312
stopped,bundle,com.ibm.ut.ic.server,1.1.4.v20120928_1335,"com.ibm.ut.ic.server",1469442422313
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1469442422313
stopped,bundle,com.ibm.ccl.help.preferenceharvester,2.1.5.v20120919_0438,"com.ibm.ccl.help.preferenceharvester",1469442422316
stopped,bundle,com.ibm.ccl.ua.wizards,1.1.3.v20120829_1315,"com.ibm.ccl.ua.wizards",1469442422316
stopped,bundle,com.ibm.ut.help.common,2.7.2.v20121004_1540,"com.ibm.ut.help.common",1469442422316
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1469442422316
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1469442422317
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1469442422317
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1469442422317
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1469442422317
stopped,bundle,com.ibm.ccl.welcome.bits,7.0.9.v20120829_1709,"com.ibm.ccl.welcome.bits",1469442422317
stopped,bundle,com.ibm.team.apt.setup.ui,3.0.300.v20120924_1445,"com.ibm.team.apt.setup.ui",1469442422317
stopped,bundle,com.ibm.team.collaboration.chat.rcp.ui,1.1.1100.v20120901_0511,"com.ibm.team.collaboration.chat.rcp.ui",1469442422317
stopped,bundle,com.ibm.team.interop.ide.ui,3.0.200.v20120430_0235,"com.ibm.team.interop.ide.ui",1469442422317
stopped,bundle,com.ibm.team.interop.rcp.ui,3.0.200.v20120430_0235,"com.ibm.team.interop.rcp.ui",1469442422317
stopped,bundle,com.ibm.team.reports.rcp.ui,2.1.1200.v20130129_0138,"com.ibm.team.reports.rcp.ui",1469442422317
stopped,bundle,com.ibm.team.filesystem.rcp.ui,3.1.200.v20120924_1445,"com.ibm.team.filesystem.rcp.ui",1469442422318
stopped,bundle,com.ibm.team.repository.rcp.ui,3.1.200.v20120924_1445,"com.ibm.team.repository.rcp.ui",1469442422319
stopped,bundle,com.ibm.team.process.rcp.ui,1.2.1200.v20121019_2347,"com.ibm.team.process.rcp.ui",1469442422328
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1469442422328
